Name,Latest Chapter,Dated Released,depth,Genre,Status,Rating,img-link
Scissor Battle,Ch.1 : Oneshot,"Sep 30,16",371,"Drama,One shot,Romance,Slice of life,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/26/k/14-1583490681.jpg
Rock Candy Praparat,Ch.1 : Oneshot,"Aug 15,16",375,"One shot,School life,Yuri",Completed,4.71,https://avt.mkklcdnv6temp.com/16/x/14-1583490355.jpg
Walk With Me (Ugawa Hiroki),Ch.2 : Part 2 (End),"Jul 14,16",378,"One shot,Yuri",Completed,4.71,https://avt.mkklcdnv6temp.com/8/y/14-1583490033.jpg
Ushirogawa Kara Koigokoro,Ch.1 : Oneshot,"Mar 11,16",390,"One shot,Romance,School life,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/30/m/13-1583488830.jpg
Yakudate! Seishun.,Vol.1 Ch.6 : The Hot Blood Of Youth Extra ~ You're My Shining Star,"Jan 21,16",395,Yaoi,Completed,4.71,https://avt.mkklcdnv6temp.com/20/q/11-1583484761.jpg
Yorokobi No Daishou,Vol.1 Ch.1,"Jan 21,16",396,"Josei,Romance",Completed,4.71,https://avt.mkklcdnv6temp.com/18/z/11-1583484701.jpg
Dear Wolf,Chapter 0,"Jan 21,16",399,"Fantasy,Mystery,One shot,Romance,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/12/l/11-1583484460.jpg
Hatsukoi Lovers,Chapter 1,"Jan 21,16",402,"Gender bender,One shot,Romance,Shounen ai",Completed,4.71,https://avt.mkklcdnv6temp.com/6/i/11-1583484225.jpg
Ichigo Jikan,Vol.2 Chapter 11,"Jan 21,16",404,"Romance,School life,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/2/s/11-1583484090.jpg
Houkago X Ponytail,Chapter 6,"Jan 21,16",404,"Comedy,Romance,School life,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/16/q/5-1583472497.jpg
Mar Omega,Vol.4 Ch.39,"Jan 21,16",410,"Action,Comedy,Fantasy,Shounen",Completed,4.71,https://avt.mkklcdnv6temp.com/13/q/5-1583472379.jpg
Nakasete! Doctor,Vol.1 Ch.6 : Good Night Doctor,"Jan 21,16",415,Yaoi,Completed,4.71,https://avt.mkklcdnv6temp.com/34/z/10-1583483435.jpg
Rakuen,Vol.1 Ch.4,"Jan 21,16",420,"Drama,Josei,One shot,Psychological,Romance,Supernatural",Completed,4.71,https://avt.mkklcdnv6temp.com/26/u/10-1583483142.jpg
Kuroyome,Vol.1 Chapter 6.2 : Omake Two:fuji-Sensei's Lie,"Jan 20,16",436,"Drama,Romance,Shoujo ai,Slice of life",Completed,4.71,https://avt.mkklcdnv6temp.com/6/q/6-1583474365.jpg
Tsundere! - Megane Cafe E Youkoso,Vol.1 Ch.4 : Story 4,"Jan 20,16",437,"Adult,Josei,Mature,One shot,Romance,Smut",Completed,4.71,https://avt.mkklcdnv6temp.com/5/f/6-1583474302.jpg
Purikyu,Vol.1 Ch.5 : Final Game,"Jan 20,16",439,"Comedy,Romance,Shoujo,Sports",Completed,4.71,https://avt.mkklcdnv6temp.com/44/a/3-1583469402.jpg
Cosmic Color,Vol.1 Chapter 4,"Jan 20,16",440,"Comedy,Romance,School life,Shoujo,Slice of life",Completed,4.71,https://avt.mkklcdnv6temp.com/43/m/3-1583469383.jpg
Aijin Wa Korosareru,Vol.1 Chapter 4,"Jan 20,16",443,"Drama,Romance,School life,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/6/f/7-1583476530.jpg
Arashi No Ato,Vol.1 Ch.7 : Extra: Double Line,"Jan 20,16",446,"Romance,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/1/n/6-1583476333.jpg
Angel Time,Chapter 1,"Jan 20,16",446,"Comedy,Fantasy,One shot,Romance,School life,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/11/r/4-1583470143.jpg
Gokiburi Gijinka,Vol.1 Chapter 2.5,"Jan 20,16",447,"Comedy,Slice of life",Completed,4.71,https://avt.mkklcdnv6temp.com/50/h/4-1583471812.jpg
Kiken Na Honey,Vol.1 Chapter 5 : Gokujou Narcissist,"Jan 20,16",452,"Romance,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/47/e/9-1583482080.jpg
Hard Core Heart,Vol.1 Chapter 8,"Jan 20,16",456,"Adult,Smut,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/18/p/13-1583488422.jpg
Miman Renai,Vol.4 Ch.30 : (End),"Jan 20,16",457,"Comedy,Romance,Seinen",Completed,4.71,https://avt.mkklcdnv6temp.com/47/i/4-1583471678.jpg
Raspberry Field No Majo,Vol.2 Ch.9 : Raspberry Field,"Jan 20,16",464,"Fantasy,School life,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/42/b/9-1583481840.jpg
Ranma 1/2,Chapter 38,"Jan 20,16",464,"Action,Adult,Adventure,Comedy,Cooking,Doujinshi,Ecchi,Gender bender,Harem,Martial arts,Romance,School life,Shounen",Completed,4.71,https://avt.mkklcdnv6temp.com/45/x/4-1583471619.jpg
Ichizude Karen Na Ore-Sama,Ch.0,"Jan 20,16",465,"Comedy,One shot,Romance,Shounen ai,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/43/o/5-1583473606.jpg
Kaizoku Game,Vol.1 Ch.3 : Musician Vs Run Away Boy,"Jan 20,16",472,"Comedy,Drama,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/41/s/5-1583473532.jpg
Cherry X Cherry,"Vol.2 Chapter 12 : Welcome Home, Oniichan","Jan 20,16",474,"Comedy,Ecchi,Harem,Romance,School life,Shounen,Slice of life",Completed,4.71,https://avt.mkklcdnv6temp.com/5/c/4-1583469863.jpg
Toraware No Minoue,Ch.24,"Jan 20,16",473,"Comedy,Drama,Fantasy,Romance,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/44/q/4-1583471557.jpg
Misshitsu No Rakuen,Ch.0,"Jan 20,16",478,"Drama,Mature,Psychological,Shoujo,Slice of life,Smut",Completed,4.71,https://avt.mkklcdnv6temp.com/36/f/9-1583481568.jpg
"Daisuki Datta Yo, Sensei...",Chapter 4,"Jan 20,16",487,"Drama,Romance,School life,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/27/k/6-1583475255.jpg
Doberman Kinshirei!,Vol.1 Chapter 4,"Jan 20,16",495,"Romance,School life,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/23/a/6-1583475077.jpg
Duds Hunt,Vol.1 Chapter 4,"Jan 20,16",502,"Action,Drama,Seinen",Completed,4.71,https://avt.mkklcdnv6temp.com/19/y/6-1583474953.jpg
The Girl On The Other Side Of The Glass,Ch.0,"Jan 20,16",508,"Josei,One shot,Romance,Slice of life",Completed,4.71,https://avt.mkklcdnv6temp.com/20/p/9-1583480900.jpg
Orange Yane No Chiisana Ie,Vol.8 Ch.64 : Mama And Papa's Wedding (End),"Jan 20,16",518,"Comedy,Drama,Josei,Romance,Seinen,Shoujo,Slice of life",Completed,4.71,https://avt.mkklcdnv6temp.com/33/c/5-1583473198.jpg
Seasons (Takemiya Jin),Ch.11,"Jan 20,16",526,Yuri,Completed,4.71,https://avt.mkklcdnv6temp.com/8/n/9-1583480420.jpg
Princess Diana,Vol.3 Ch.24 : The Wordless Vow,"Jan 20,16",527,"Drama,Historical,Romance,Shoujo,Tragedy",Completed,4.71,https://avt.mkklcdnv6temp.com/7/c/12-1583486086.jpg
Nanahikari,Vol.7 Ch.28,"Jan 20,16",531,"Drama,Slice of life,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/5/s/9-1583480318.jpg
Renai Library,Vol.1 Ch.0,"Jan 20,16",532,"Comedy,One shot,Romance,School life,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/30/g/5-1583473027.jpg
Ronald No Yabou,Vol.1 Ch.5 : Ch05-07+Extra,"Jan 20,16",535,"Comedy,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/29/w/5-1583473015.jpg
Asahina Koharu’S Delusional Weather,Ch.0 : [Oneshot],"Jan 20,16",541,"Comedy,Ecchi,One shot,School life,Shounen",Completed,4.71,https://avt.mkklcdnv6temp.com/35/d/4-1583471130.jpg
Senaka Kara Daite,Ch.9 : The Sweet Poetry,"Jan 20,16",542,Yaoi,Completed,4.71,https://avt.mkklcdnv6temp.com/48/g/11-1583485755.jpg
Shibou To Iu Na No Fuku O Kite,Vol.1 Ch.15,"Jan 20,16",545,"Adult,Drama,Josei,Mature,Psychological",Completed,4.71,https://avt.mkklcdnv6temp.com/46/l/11-1583485692.jpg
Steel Ball Run,Vol.24 Chapter 95 : World Of Stars And Stripes - Outro,"Jan 20,16",546,"Action,Adventure,Drama,Historical,Mystery,Seinen,Sports,Supernatural,Tragedy",Completed,4.71,https://avt.mkklcdnv6temp.com/10/u/6-1583474542.jpg
Walking With You (Junko),Ch.0 : [Oneshot],"Jan 20,16",550,"One shot,School life,Shounen ai",Completed,4.71,https://avt.mkklcdnv6temp.com/46/t/8-1583479959.jpg
Skyhigh 4,Vol.1 Chapter 5 : Heven,"Jan 20,16",551,"Drama,Seinen,Supernatural",Completed,4.71,https://avt.mkklcdnv6temp.com/43/b/11-1583485559.jpg
Sore Demo Yappari Kimi Ga Suki,Vol.1 Chapter 0,"Jan 20,16",553,"Comedy,One shot,Romance,School life,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/26/w/5-1583472879.jpg
Danshi Ryou De Himitsu No Kiss,Chapter Ibi-Manga : [Oneshot],"Jan 20,16",554,"One shot,Romance,School life,Shoujo",Completed,4.71,https://avt.mkklcdnv6temp.com/43/g/2-1583467359.jpg
Spiral: Suiri No Kizuna,Vol.15 Ch.77.1 : Omake,"Jan 20,16",554,"Action,Comedy,Drama,Mystery,Romance,School life,Slice of life,Tragedy",Completed,4.71,https://avt.mkklcdnv6temp.com/26/s/5-1583472872.jpg
Haru Ni,Chapter 1,"Jan 20,16",567,"One shot,School life,Shoujo ai,Slice of life",Completed,4.71,https://avt.mkklcdnv6temp.com/35/r/2-1583467070.jpg
Itsumo Yasashii,Chapter 0,"Jan 20,16",568,"Drama,One shot,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/38/e/8-1583479630.jpg
Watashi No Yaban Na Geboku,Vol.1 Ch.7,"Jan 20,16",584,"Smut,Yaoi",Completed,4.71,https://avt.mkklcdnv6temp.com/23/e/11-1583484853.jpg
Psychic Academy Oura Banshou,Vol.11 Ch.38 : Towards The Future Of The Aura [End],"Jan 20,16",590,"Action,Drama,Ecchi,Romance,Seinen,Supernatural",Completed,4.71,https://avt.mkklcdnv6temp.com/31/x/3-1583468932.jpg
Gamaran,Chapter 194,"Jan 20,16",591,"Action,Adventure,Comedy,Historical,Martial arts,Shounen",Completed,4.71,https://avt.mkklcdnv6temp.com/23/z/4-1583470670.jpg
